mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,460,0,460
2,STD,442,0,442
3,COR,120,0,120
4,COR,84,0,84
5,EVR,2,0,2
6,EVR,119,112,7
7,EVR,119,112,7
8,EVR,209,110,99
9,LVR,0,0,0
10,EVR,209,110,99
11,LVR,156,85,71
12,LVR,227,154,73
13,ROR,34,3,31
14,ROR,156,85,71
15,ROR,227,154,73
16,EVR,182,83,99
17,LVR,106,106,0
18,LVR,316,0,316
19,LVR,290,290,0
20,ROR,0,0,0
21,ROR,290,0,290
22,ROR,108,108,0
23,COR,107,0,107
24,COR,0,0,0
25,COR,1,1,0
26,COR,290,0,290
27,ROR,108,108,0
28,STD,108,108,0
29,STD,135,0,135
30,EVR,108,108,0
31,EVR,374,0,374
32,LVR,88,88,0
33,LVR,374,0,374
34,ROR,8,8,0
35,ROR,88,88,0
36,ROR,374,0,374
37,STD,21,13,8
38,STD,374,190,184
39,STD,270,29,241
40,LVR,374,374,0
41,LVR,374,374,0
42,AOR,112,112,0
43,AOR,374,374,0
44,AOR,374,374,0
45,AOR,374,374,0
46,STD,374,374,0
47,EVR,112,112,0
48,EVR,99,0,99
49,LVR,51,0,51
50,LVR,0,0,0
51,ROR,0,0,0
52,ROR,0,0,0
53,ROR,99,0,99
54,COR,99,0,99
55,COR,73,0,73
56,COR,99,0,99
57,COR,0,0,0
58,EVR,31,24,7
59,STD,57,33,24
60,STD,4,3,1
61,EVR,31,31,0
62,EVR,374,0,374
63,EVR,374,0,374
