mutant_id,mutation,failing_test
1,STD,0
2,STD,0
3,COR,0
4,COR,0
5,EVR,0
6,EVR,0
7,EVR,0
8,EVR,0
9,EVR,0
10,LVR,0
11,LVR,0
12,ROR,0
13,ROR,0
14,ROR,0
15,EVR,0
16,LVR,0
17,LVR,0
18,LVR,0
19,ROR,0
20,ROR,0
21,ROR,0
22,COR,0
23,COR,0
24,COR,0
25,COR,0
26,ROR,0
27,STD,0
28,STD,
29,EVR,0
30,EVR,0
31,LVR,24
32,LVR,0
33,ROR,0
34,ROR,24
35,ROR,0
36,STD,2
37,STD,44
38,STD,16
39,LVR,4
40,LVR,4
41,AOR,0
42,AOR,4
43,AOR,4
44,AOR,4
45,STD,8
46,LVR,
47,EVR,0
48,EVR,0
49,LVR,0
50,LVR,0
51,ROR,0
52,ROR,0
53,ROR,0
54,COR,0
55,COR,0
56,COR,0
57,COR,0
58,EVR,0
59,STD,12
60,STD,18
61,EVR,0
62,EVR,0
63,EVR,0
