mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,11,0,11
2,STD,8,0,8
3,COR,1,0,1
4,COR,1,0,1
5,EVR,0,0,0
6,EVR,1,0,1
7,EVR,1,0,1
8,EVR,3,2,1
9,EVR,3,2,1
10,LVR,1,0,1
11,LVR,2,0,2
12,ROR,1,1,0
13,ROR,1,0,1
14,ROR,2,0,2
15,EVR,2,1,1
16,LVR,1,1,0
17,LVR,2,0,2
18,LVR,1,1,0
19,ROR,0,0,0
20,ROR,1,0,1
21,ROR,1,1,0
22,COR,1,0,1
23,COR,0,0,0
24,COR,0,0,0
25,COR,1,0,1
26,ROR,1,1,0
27,STD,1,1,0
28,STD,0,0,0
29,EVR,1,1,0
30,EVR,8,0,8
31,LVR,1,1,0
32,LVR,8,0,8
33,ROR,1,1,0
34,ROR,1,1,0
35,ROR,8,0,8
36,STD,0,0,0
37,STD,7,5,2
38,STD,5,1,4
39,LVR,3,3,0
40,LVR,3,3,0
41,AOR,1,1,0
42,AOR,3,3,0
43,AOR,3,3,0
44,AOR,3,3,0
45,STD,3,3,0
46,LVR,0,0,0
47,EVR,2,2,0
48,EVR,1,0,1
49,LVR,1,0,1
50,LVR,0,0,0
51,ROR,0,0,0
52,ROR,0,0,0
53,ROR,1,0,1
54,COR,1,0,1
55,COR,2,0,2
56,COR,1,0,1
57,COR,0,0,0
58,EVR,0,0,0
59,STD,1,1,0
60,STD,0,0,0
61,EVR,0,0,0
62,EVR,8,0,8
63,EVR,8,0,8
