mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,455,0,455
2,STD,437,0,437
3,COR,120,0,120
4,COR,84,0,84
5,EVR,2,0,2
6,EVR,119,112,7
7,EVR,119,112,7
8,EVR,206,107,99
9,EVR,206,107,99
10,LVR,154,83,71
11,LVR,225,153,72
12,ROR,34,3,31
13,ROR,154,83,71
14,ROR,225,153,72
15,EVR,180,81,99
16,LVR,103,103,0
17,LVR,311,0,311
18,LVR,285,285,0
19,ROR,0,0,0
20,ROR,285,0,285
21,ROR,105,105,0
22,COR,104,0,104
23,COR,0,0,0
24,COR,1,1,0
25,COR,285,0,285
26,ROR,105,105,0
27,STD,105,105,0
28,STD,0,0,0
29,EVR,105,105,0
30,EVR,370,0,370
31,LVR,86,86,0
32,LVR,370,0,370
33,ROR,8,8,0
34,ROR,86,86,0
35,ROR,370,0,370
36,STD,21,13,8
37,STD,370,186,184
38,STD,267,27,240
39,LVR,370,370,0
40,LVR,370,370,0
41,AOR,112,112,0
42,AOR,370,370,0
43,AOR,370,370,0
44,AOR,370,370,0
45,STD,370,370,0
46,LVR,0,0,0
47,EVR,112,112,0
48,EVR,99,0,99
49,LVR,51,0,51
50,LVR,0,0,0
51,ROR,0,0,0
52,ROR,0,0,0
53,ROR,99,0,99
54,COR,99,0,99
55,COR,72,0,72
56,COR,99,0,99
57,COR,0,0,0
58,EVR,31,24,7
59,STD,57,33,24
60,STD,4,3,1
61,EVR,31,31,0
62,EVR,370,0,370
63,EVR,370,0,370
