mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,11,0,11
2,STD,7,0,7
3,COR,1,0,1
4,COR,1,0,1
5,EVR,0,0,0
6,EVR,1,1,0
7,EVR,1,1,0
8,EVR,4,2,2
9,EVR,4,2,2
10,LVR,1,0,1
11,LVR,3,1,2
12,ROR,1,0,1
13,ROR,1,0,1
14,ROR,3,1,2
15,EVR,2,0,2
16,LVR,0,0,0
17,LVR,1,0,1
18,LVR,0,0,0
19,ROR,0,0,0
20,ROR,0,0,0
21,ROR,0,0,0
22,COR,1,0,1
23,COR,0,0,0
24,COR,0,0,0
25,COR,0,0,0
26,ROR,0,0,0
27,STD,0,0,0
28,STD,0,0,0
29,EVR,0,0,0
30,EVR,7,0,7
31,LVR,1,1,0
32,LVR,7,0,7
33,ROR,1,1,0
34,ROR,1,1,0
35,ROR,7,0,7
36,STD,0,0,0
37,STD,5,2,3
38,STD,5,0,5
39,LVR,0,0,0
40,LVR,0,0,0
41,AOR,0,0,0
42,AOR,0,0,0
43,AOR,0,0,0
44,AOR,0,0,0
45,STD,0,0,0
46,EVR,1,1,0
47,EVR,2,0,2
48,LVR,1,0,1
49,LVR,0,0,0
50,ROR,0,0,0
51,ROR,0,0,0
52,ROR,2,0,2
53,COR,2,0,2
54,COR,2,0,2
55,COR,2,0,2
56,COR,0,0,0
57,EVR,1,1,0
58,STD,2,2,0
59,STD,0,0,0
60,LVR,0,0,0
61,EVR,1,1,0
62,EVR,7,0,7
63,EVR,7,0,7
