mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,369,0,369
2,STD,352,0,352
3,COR,85,0,85
4,COR,69,0,69
5,EVR,1,0,1
6,EVR,84,79,5
7,EVR,84,79,5
8,EVR,161,85,76
9,EVR,161,85,76
10,LVR,116,62,54
11,LVR,175,113,62
12,ROR,27,3,24
13,ROR,116,62,54
14,ROR,175,113,62
15,EVR,136,60,76
16,LVR,81,81,0
17,LVR,247,0,247
18,LVR,225,225,0
19,ROR,0,0,0
20,ROR,225,0,225
21,ROR,82,82,0
22,COR,82,0,82
23,COR,0,0,0
24,COR,0,0,0
25,COR,225,0,225
26,ROR,82,82,0
27,STD,82,82,0
28,STD,0,0,0
29,EVR,82,82,0
30,EVR,293,0,293
31,LVR,66,66,0
32,LVR,293,0,293
33,ROR,4,4,0
34,ROR,66,66,0
35,ROR,293,0,293
36,STD,14,9,5
37,STD,293,157,136
38,STD,206,26,180
39,LVR,293,293,0
40,LVR,293,293,0
41,AOR,87,87,0
42,AOR,293,293,0
43,AOR,293,293,0
44,AOR,293,293,0
45,STD,293,293,0
46,EVR,87,87,0
47,EVR,76,0,76
48,LVR,37,0,37
49,LVR,0,0,0
50,ROR,0,0,0
51,ROR,0,0,0
52,ROR,76,0,76
53,COR,76,0,76
54,COR,62,0,62
55,COR,76,0,76
56,COR,0,0,0
57,EVR,24,19,5
58,STD,44,28,16
59,STD,2,1,1
60,LVR,0,0,0
61,EVR,24,24,0
62,EVR,293,0,293
63,EVR,293,0,293
