mutant_id,mutation,failing_test
1,STD,0
2,LVR,8
3,LVR,8
4,LVR,8
5,COR,14
6,COR,19
7,LVR,8
8,ROR,8
9,ROR,8
10,ROR,6
11,COR,14
12,COR,6
13,LVR,8
14,STD,19
15,STD,19
16,STD,19
17,EVR,8
18,LVR,8
19,LVR,8
20,STD,19
21,STD,19
22,STD,19
23,LVR,8
24,LVR,8
25,STD,19
26,STD,0
27,LVR,
28,STD,17
29,LVR,8
30,LVR,8
31,LVR,8
32,LVR,8
33,LVR,8
34,LVR,8
35,LVR,8
36,LVR,8
37,LVR,8
38,LVR,8
39,AOR,8
40,AOR,8
41,AOR,8
42,AOR,8
43,STD,19
44,AOR,8
45,AOR,8
46,AOR,8
47,AOR,8
48,LVR,8
49,LVR,8
50,AOR,8
51,AOR,8
52,AOR,8
53,AOR,8
54,LVR,8
55,LVR,8
56,ROR,8
57,ROR,8
58,ROR,14
59,AOR,8
60,AOR,8
61,AOR,8
62,AOR,8
63,LVR,8
64,LVR,8
65,AOR,8
66,AOR,8
67,AOR,8
68,AOR,8
69,LVR,8
70,LVR,8
71,ROR,8
72,ROR,8
73,ROR,14
74,AOR,8
75,AOR,8
76,AOR,8
77,AOR,8
78,LVR,8
79,LVR,8
80,AOR,8
81,AOR,8
82,AOR,8
83,AOR,8
84,ROR,8
85,ROR,8
86,ROR,6
87,LVR,8
88,EVR,6
89,LVR,8
90,COR,16
91,COR,6
92,STD,0
93,LVR,8
94,LVR,8
95,SOR,
96,SOR,
97,LVR,
98,LVR,8
99,AOR,
100,AOR,
101,AOR,8
102,AOR,
103,LVR,8
104,LVR,8
105,LVR,8
106,LVR,8
107,STD,19
108,STD,
109,LVR,8
110,LVR,8
111,AOR,8
112,AOR,8
113,AOR,8
114,AOR,8
115,STD,19
116,STD,19
117,EVR,8
118,LVR,8
119,LVR,8
120,ROR,8
121,ROR,8
122,ROR,19
123,LVR,8
124,LVR,8
125,AOR,8
126,AOR,8
127,AOR,8
128,AOR,8
129,LVR,8
130,LVR,8
131,SOR,8
132,SOR,8
133,ROR,8
134,ROR,8
135,ROR,6
136,LVR,8
137,COR,16
138,COR,16
139,STD,0
140,LVR,8
141,LVR,8
142,AOR,8
143,AOR,8
144,AOR,8
145,AOR,8
146,LVR,8
147,LVR,8
148,SOR,8
149,SOR,8
150,LVR,8
151,LVR,8
152,AOR,8
153,AOR,8
154,AOR,8
155,AOR,8
156,LVR,8
157,LVR,8
158,SOR,8
159,SOR,8
160,STD,19
161,STD,19
162,LVR,8
163,LVR,8
164,AOR,8
