mutant_id,mutation,failing_test
1,STD,
2,LVR,
3,LVR,
4,LVR,
5,COR,
6,COR,
7,LVR,
8,ROR,
9,ROR,
10,ROR,
11,COR,
12,COR,
13,LVR,
14,STD,
15,STD,
16,STD,
17,EVR,
18,LVR,
19,LVR,
20,STD,
21,STD,
22,STD,
23,LVR,
24,LVR,
25,STD,
26,STD,
27,LVR,
28,STD,
29,LVR,
30,LVR,
31,LVR,
32,LVR,
33,LVR,
34,LVR,
35,LVR,
36,LVR,
37,LVR,
38,LVR,
39,AOR,
40,AOR,
41,AOR,
42,AOR,
43,STD,
44,AOR,
45,AOR,
46,AOR,
47,AOR,
48,LVR,
49,LVR,
50,AOR,
51,AOR,
52,AOR,
53,AOR,
54,LVR,
55,LVR,
56,ROR,
57,ROR,
58,ROR,
59,AOR,
60,AOR,
61,AOR,
62,AOR,
63,LVR,
64,LVR,
65,AOR,
66,AOR,
67,AOR,
68,AOR,
69,LVR,
70,LVR,
71,ROR,
72,ROR,
73,ROR,
74,AOR,
75,AOR,
76,AOR,
77,AOR,
78,LVR,
79,LVR,
80,AOR,
81,AOR,
82,AOR,
83,AOR,
84,ROR,
85,ROR,
86,ROR,
87,LVR,
88,EVR,
89,LVR,
90,COR,
91,COR,
92,STD,
93,LVR,
94,LVR,
95,SOR,
96,SOR,
97,LVR,
98,LVR,
99,AOR,
100,AOR,
101,AOR,
102,AOR,
103,LVR,
104,LVR,
105,LVR,
106,LVR,
107,STD,
108,STD,
109,LVR,
110,LVR,
111,AOR,
112,AOR,
113,AOR,
114,AOR,
115,STD,
116,STD,
117,EVR,
118,LVR,
119,LVR,
120,ROR,
121,ROR,
122,ROR,
123,LVR,
124,LVR,
125,AOR,
126,AOR,
127,AOR,
128,AOR,
129,LVR,
130,LVR,
131,SOR,
132,SOR,
133,ROR,
134,ROR,
135,ROR,
136,LVR,
137,COR,
138,COR,
139,STD,
140,LVR,
141,LVR,
142,AOR,
143,AOR,
144,AOR,
145,AOR,
146,LVR,
147,LVR,
148,SOR,
149,SOR,
150,LVR,
151,LVR,
152,AOR,
153,AOR,
154,AOR,
155,AOR,
156,LVR,
157,LVR,
158,SOR,
159,SOR,
160,STD,
161,STD,
162,LVR,
163,LVR,
164,AOR,
165,AOR,
166,AOR,
167,AOR,
168,LVR,
169,LVR,
170,SOR,
171,SOR,
172,STD,
173,LVR,
174,LVR,
175,AOR,
176,AOR,
177,AOR,
178,AOR,
179,STD,
180,STD,
181,LVR,
182,LVR,
183,LVR,
184,LVR,
185,AOR,
186,AOR,
187,AOR,
188,AOR,
189,STD,
190,STD,
191,STD,
192,LVR,
193,LVR,
194,LVR,
195,STD,
196,EVR,
197,STD,
198,LVR,
199,LVR,
200,STD,
201,LVR,
202,LVR,
203,LVR,
204,LVR,
205,LVR,
206,LVR,
207,LVR,
208,LVR,
209,AOR,
210,AOR,
211,AOR,
212,AOR,
213,LVR,
214,LVR,
215,AOR,
216,AOR,
217,AOR,
218,AOR,
219,LVR,
220,LVR,
221,ROR,
222,ROR,
223,ROR,
224,AOR,
225,AOR,
226,AOR,
227,AOR,
228,LVR,
229,LVR,
230,AOR,
231,AOR,
232,AOR,
233,AOR,
234,LVR,
235,LVR,
236,ROR,
237,ROR,
238,ROR,
239,AOR,
240,AOR,
241,AOR,
242,AOR,
243,LVR,
244,LVR,
245,AOR,
246,AOR,
247,AOR,
248,AOR,
249,ROR,
250,ROR,
251,ROR,
252,LVR,
253,EVR,
254,LVR,
255,COR,
256,COR,
257,STD,
258,LVR,
259,LVR,
260,SOR,
261,SOR,
262,LVR,
263,LVR,
264,AOR,
265,AOR,
266,AOR,
267,AOR,
268,LVR,
269,LVR,
270,LVR,
271,LVR,
272,STD,
273,STD,
274,STD,
275,LVR,
276,LVR,
277,STD,
278,STD,
279,EVR,
280,LVR,
281,EVR,
282,LVR,
283,LVR,
284,COR,
285,COR,
286,LVR,
287,LVR,
288,ROR,
289,ROR,
290,ROR,
291,STD,
292,STD,
293,STD,
294,STD,
295,EVR,
296,LVR,
297,LVR,
298,AOR,
299,AOR,
300,AOR,
301,AOR,
302,STD,
303,LVR,
304,STD,
305,EVR,
306,EVR,
307,LVR,
308,LVR,
309,AOR,
310,AOR,
311,AOR,
312,AOR,
313,LVR,
314,LVR,
315,AOR,
316,AOR,
317,AOR,
318,AOR,
319,LVR,
320,LVR,
321,ROR,
322,ROR,
323,ROR,
324,LVR,
325,LVR,
326,AOR,
327,AOR,
328,AOR,
329,AOR,
330,LVR,
331,LVR,
332,AOR,
333,AOR,
334,AOR,
335,AOR,
336,LVR,
337,LVR,
338,ROR,
339,ROR,
340,ROR,
341,LVR,
342,LVR,
343,AOR,
344,AOR,
345,AOR,
346,AOR,
347,LVR,
348,LVR,
349,AOR,
350,AOR,
351,AOR,
352,AOR,
353,ROR,
354,ROR,
355,ROR,
356,LVR,
357,EVR,
358,LVR,
359,COR,
360,COR,
361,STD,
362,LVR,
363,LVR,
364,SOR,
365,SOR,
366,LVR,
367,LVR,
368,AOR,
369,AOR,
370,AOR,
371,AOR,
372,LVR,
373,LVR,
374,LVR,
375,LVR,
376,STD,
377,STD,
378,LVR,
379,LVR,
380,AOR,
381,AOR,
382,AOR,
383,AOR,
384,STD,
385,STD,
386,EVR,
387,LVR,
388,LVR,
389,ROR,
390,ROR,
391,ROR,
392,LVR,
393,LVR,
394,AOR,
395,AOR,
396,AOR,
397,AOR,
398,LVR,
399,LVR,
400,SOR,
401,SOR,
402,ROR,
403,ROR,
404,ROR,
405,LVR,
406,COR,
407,COR,
408,STD,
409,LVR,
410,LVR,
411,AOR,
412,AOR,
413,AOR,
414,AOR,
415,LVR,
416,LVR,
417,SOR,
418,SOR,
419,LVR,
420,LVR,
421,AOR,
422,AOR,
423,AOR,
424,AOR,
425,LVR,
426,LVR,
427,SOR,
428,SOR,
429,STD,
430,STD,
431,LVR,
432,LVR,
433,AOR,
434,AOR,
435,AOR,
436,AOR,
437,LVR,
438,LVR,
439,SOR,
440,SOR,
441,STD,
442,LVR,
443,LVR,
444,AOR,
445,AOR,
446,AOR,
447,AOR,
448,STD,
449,STD,
450,STD,
451,LVR,
452,LVR,
453,STD,
454,STD,
455,LVR,
456,LVR,
457,COR,
458,COR,
459,LVR,
460,LVR,
461,LVR,
462,LVR,
463,STD,
464,STD,
465,LVR,
466,LVR,
467,STD,
468,STD,
469,LVR,
470,LVR,
471,STD,
472,STD,
473,LVR,
474,LVR,
475,LVR,
476,LVR,
477,LVR,
478,LVR,
479,ROR,
480,ROR,
481,ROR,
482,LVR,
483,LVR,
484,STD,
485,LVR,
486,LVR,
487,STD,
488,STD,
489,STD,
490,STD,
491,EVR,
492,LVR,
493,LVR,
494,COR,
495,COR,
496,LVR,
497,LVR,
498,AOR,
499,AOR,
500,AOR,
501,AOR,
502,STD,
503,AOR,
504,AOR,
505,AOR,
506,AOR,
507,EVR,
508,COR,
509,COR,
510,EVR,
511,STD,
512,STD,
513,STD,
514,EVR,
515,STD,
516,LVR,
517,LVR,
518,EVR,
519,STD,
520,ROR,
521,LVR,
522,LVR,
523,STD,
524,LVR,
525,LVR,
526,STD,
527,ROR,
528,ROR,
529,ROR,
530,STD,
531,EVR,
532,COR,
533,COR,
534,LVR,
535,LVR,
536,AOR,
537,AOR,
538,AOR,
539,AOR,
