mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,6,2,4
2,LVR,1,1,0
3,LVR,1,1,0
4,LVR,1,1,0
5,COR,1,1,0
6,COR,0,0,0
7,LVR,2,2,0
8,ROR,0,0,0
9,ROR,0,0,0
10,ROR,0,0,0
11,COR,2,2,0
12,COR,0,0,0
13,LVR,0,0,0
14,STD,0,0,0
15,STD,2,2,0
16,STD,6,0,6
17,EVR,10,0,10
18,LVR,0,0,0
19,LVR,0,0,0
20,STD,0,0,0
21,STD,2,2,0
22,STD,10,0,10
23,LVR,0,0,0
24,LVR,1,1,0
25,STD,1,1,0
26,STD,0,0,0
27,LVR,0,0,0
28,STD,8,0,8
29,LVR,0,0,0
30,LVR,10,0,10
31,LVR,2,1,1
32,LVR,3,2,1
33,LVR,5,0,5
34,LVR,5,0,5
35,LVR,0,0,0
36,LVR,2,0,2
37,LVR,5,0,5
38,LVR,5,0,5
39,AOR,5,0,5
40,AOR,5,0,5
41,AOR,5,0,5
42,AOR,5,0,5
43,STD,5,0,5
44,AOR,10,0,10
45,AOR,5,0,5
46,AOR,5,0,5
47,AOR,10,0,10
48,LVR,6,0,6
49,LVR,6,0,6
50,AOR,6,0,6
51,AOR,6,0,6
52,AOR,6,0,6
53,AOR,6,0,6
54,LVR,2,0,2
55,LVR,6,0,6
56,ROR,3,0,3
57,ROR,2,0,2
58,ROR,6,0,6
59,AOR,5,0,5
60,AOR,5,0,5
61,AOR,5,0,5
62,AOR,5,0,5
63,LVR,0,0,0
64,LVR,0,0,0
65,AOR,0,0,0
66,AOR,0,0,0
67,AOR,0,0,0
68,AOR,0,0,0
69,LVR,2,0,2
70,LVR,0,0,0
71,ROR,3,0,3
72,ROR,2,0,2
73,ROR,0,0,0
74,AOR,5,0,5
75,AOR,5,0,5
76,AOR,5,0,5
77,AOR,5,0,5
78,LVR,0,0,0
79,LVR,0,0,0
80,AOR,3,0,3
81,AOR,0,0,0
82,AOR,0,0,0
83,AOR,0,0,0
84,ROR,3,0,3
85,ROR,2,0,2
86,ROR,5,0,5
87,LVR,0,0,0
88,EVR,5,0,5
89,LVR,6,0,6
90,COR,5,0,5
91,COR,10,0,10
92,STD,0,0,0
93,LVR,0,0,0
94,LVR,3,0,3
95,SOR,0,0,0
96,SOR,0,0,0
97,LVR,0,0,0
98,LVR,5,0,5
99,AOR,0,0,0
100,AOR,0,0,0
101,AOR,5,0,5
102,AOR,0,0,0
103,LVR,5,0,5
104,LVR,5,0,5
105,LVR,0,0,0
106,LVR,5,0,5
107,STD,0,0,0
108,STD,0,0,0
109,LVR,2,2,0
110,LVR,0,0,0
111,AOR,2,2,0
112,AOR,2,2,0
113,AOR,0,0,0
114,AOR,2,2,0
115,STD,2,2,0
116,STD,5,0,5
117,EVR,5,0,5
118,LVR,0,0,0
119,LVR,5,0,5
120,ROR,0,0,0
121,ROR,5,0,5
122,ROR,1,1,0
123,LVR,0,0,0
124,LVR,0,0,0
125,AOR,0,0,0
126,AOR,0,0,0
127,AOR,0,0,0
128,AOR,0,0,0
129,LVR,0,0,0
130,LVR,0,0,0
131,SOR,1,1,0
132,SOR,0,0,0
133,ROR,0,0,0
134,ROR,0,0,0
135,ROR,1,1,0
136,LVR,5,0,5
137,COR,1,1,0
138,COR,5,0,5
139,STD,0,0,0
140,LVR,0,0,0
141,LVR,0,0,0
142,AOR,0,0,0
143,AOR,0,0,0
144,AOR,0,0,0
145,AOR,0,0,0
146,LVR,0,0,0
147,LVR,0,0,0
148,SOR,1,1,0
149,SOR,0,0,0
150,LVR,1,1,0
151,LVR,1,1,0
152,AOR,0,0,0
153,AOR,1,1,0
154,AOR,1,1,0
155,AOR,1,1,0
156,LVR,1,1,0
157,LVR,0,0,0
158,SOR,2,1,1
159,SOR,0,0,0
160,STD,2,1,1
161,STD,1,1,0
162,LVR,0,0,0
163,LVR,0,0,0
164,AOR,0,0,0
165,AOR,0,0,0
166,AOR,0,0,0
167,AOR,0,0,0
168,LVR,0,0,0
169,LVR,0,0,0
170,SOR,0,0,0
171,SOR,0,0,0
172,STD,0,0,0
173,LVR,3,0,3
174,LVR,3,0,3
175,AOR,3,0,3
176,AOR,3,0,3
177,AOR,3,0,3
178,AOR,3,0,3
179,STD,3,0,3
180,STD,10,0,10
181,LVR,7,0,7
182,LVR,6,1,5
183,LVR,3,1,2
184,LVR,5,0,5
185,AOR,3,1,2
186,AOR,3,1,2
187,AOR,5,0,5
188,AOR,3,1,2
189,STD,3,1,2
190,STD,9,0,9
191,STD,9,0,9
192,LVR,3,3,0
193,LVR,3,3,0
194,LVR,0,0,0
195,STD,5,2,3
196,EVR,1,0,1
197,STD,1,0,1
198,LVR,0,0,0
199,LVR,0,0,0
200,STD,1,0,1
201,LVR,0,0,0
202,LVR,9,0,9
203,LVR,1,1,0
204,LVR,2,1,1
205,LVR,0,0,0
206,LVR,0,0,0
207,LVR,0,0,0
208,LVR,0,0,0
209,AOR,9,0,9
210,AOR,0,0,0
211,AOR,0,0,0
212,AOR,9,0,9
213,LVR,9,0,9
214,LVR,9,0,9
215,AOR,9,0,9
216,AOR,9,0,9
217,AOR,9,0,9
218,AOR,9,0,9
219,LVR,0,0,0
