mutant_id,mutation,failing_test
1,STD,0
2,LVR,3
3,LVR,3
4,LVR,3
5,COR,6
6,COR,3
7,LVR,3
8,ROR,3
9,ROR,3
10,ROR,6
11,COR,6
12,COR,6
13,LVR,3
14,STD,6
15,STD,6
16,STD,6
17,EVR,6
18,LVR,3
19,LVR,3
20,STD,6
21,STD,6
22,STD,3
23,LVR,3
24,LVR,3
25,STD,6
26,STD,0
27,LVR,
28,STD,6
29,LVR,3
30,LVR,3
31,LVR,3
32,LVR,3
33,LVR,3
34,LVR,6
35,LVR,3
36,LVR,3
37,LVR,6
38,LVR,6
39,AOR,6
40,AOR,6
41,AOR,6
42,AOR,6
43,STD,6
44,AOR,6
45,AOR,6
46,AOR,6
47,AOR,6
48,LVR,6
49,LVR,6
50,AOR,6
51,AOR,6
52,AOR,6
53,AOR,6
54,LVR,3
55,LVR,6
56,ROR,6
57,ROR,3
58,ROR,3
59,AOR,6
60,AOR,6
61,AOR,6
62,AOR,6
63,LVR,3
64,LVR,3
65,AOR,3
66,AOR,3
67,AOR,3
68,AOR,3
69,LVR,3
70,LVR,3
71,ROR,6
72,ROR,3
73,ROR,6
74,AOR,6
75,AOR,6
76,AOR,6
77,AOR,6
78,LVR,3
79,LVR,3
80,AOR,6
81,AOR,3
82,AOR,3
83,AOR,3
84,ROR,6
85,ROR,3
86,ROR,6
87,LVR,3
88,EVR,6
89,LVR,6
90,COR,6
91,COR,6
92,STD,0
93,LVR,3
94,LVR,6
95,SOR,
96,SOR,
97,LVR,
98,LVR,6
99,AOR,
100,AOR,
101,AOR,6
102,AOR,
103,LVR,6
104,LVR,6
105,LVR,3
106,LVR,6
107,STD,6
108,STD,
109,LVR,3
110,LVR,3
111,AOR,3
112,AOR,3
113,AOR,3
114,AOR,3
115,STD,6
116,STD,6
117,EVR,6
118,LVR,3
119,LVR,6
120,ROR,3
121,ROR,6
122,ROR,3
123,LVR,3
124,LVR,3
125,AOR,3
126,AOR,3
127,AOR,3
128,AOR,3
129,LVR,3
130,LVR,3
131,SOR,6
132,SOR,3
133,ROR,3
134,ROR,3
135,ROR,6
136,LVR,6
137,COR,3
138,COR,6
139,STD,0
140,LVR,3
141,LVR,3
142,AOR,3
143,AOR,3
144,AOR,3
145,AOR,3
146,LVR,3
147,LVR,3
148,SOR,6
149,SOR,3
150,LVR,3
151,LVR,3
152,AOR,3
153,AOR,3
154,AOR,3
155,AOR,3
156,LVR,3
157,LVR,3
158,SOR,6
159,SOR,3
160,STD,6
161,STD,6
162,LVR,3
163,LVR,3
164,AOR,3
165,AOR,3
166,AOR,3
167,AOR,3
168,LVR,3
169,LVR,3
170,SOR,6
171,SOR,3
172,STD,6
173,LVR,3
174,LVR,6
175,AOR,3
176,AOR,3
177,AOR,6
178,AOR,3
179,STD,6
180,STD,6
181,LVR,3
182,LVR,3
183,LVR,3
184,LVR,3
185,AOR,3
186,AOR,3
187,AOR,3
188,AOR,3
189,STD,6
190,STD,6
191,STD,6
192,LVR,3
193,LVR,3
194,LVR,3
195,STD,9
196,EVR,0
197,STD,0
198,LVR,6
199,LVR,0
200,STD,6
201,LVR,18
202,LVR,0
203,LVR,8
204,LVR,8
205,LVR,15
206,LVR,3
207,LVR,15
208,LVR,3
209,AOR,0
210,AOR,3
211,AOR,3
212,AOR,0
213,LVR,
214,LVR,
215,AOR,
216,AOR,0
217,AOR,
218,AOR,
219,LVR,3
220,LVR,0
221,ROR,3
222,ROR,3
223,ROR,0
224,AOR,3
225,AOR,3
226,AOR,3
227,AOR,3
228,LVR,3
229,LVR,3
230,AOR,3
231,AOR,3
232,AOR,3
233,AOR,3
234,LVR,3
235,LVR,3
236,ROR,3
237,ROR,3
238,ROR,6
239,AOR,3
240,AOR,3
241,AOR,3
242,AOR,3
243,LVR,3
244,LVR,3
245,AOR,3
246,AOR,3
247,AOR,3
248,AOR,3
249,ROR,3
250,ROR,3
251,ROR,6
252,LVR,3
253,EVR,6
254,LVR,
255,COR,3
256,COR,
257,STD,0
258,LVR,3
259,LVR,3
260,SOR,3
261,SOR,3
262,LVR,3
263,LVR,3
264,AOR,3
265,AOR,3
266,AOR,3
267,AOR,3
268,LVR,3
269,LVR,3
270,LVR,3
271,LVR,3
272,STD,6
273,STD,6
274,STD,3
275,LVR,28
276,LVR,5
277,STD,0
278,STD,6
279,EVR,3
280,LVR,3
281,LVR,3
282,COR,3
283,COR,6
284,LVR,3
285,LVR,3
286,ROR,3
287,ROR,3
288,ROR,6
289,STD,6
290,STD,6
291,STD,6
292,STD,9
293,EVR,12
294,LVR,11
295,LVR,11
296,AOR,11
297,AOR,11
298,AOR,11
299,AOR,11
300,STD,9
301,LVR,3
302,STD,6
303,EVR,3
304,EVR,0
305,LVR,0
306,LVR,0
307,AOR,0
308,AOR,0
309,AOR,0
310,AOR,0
311,LVR,3
312,LVR,3
313,AOR,3
314,AOR,3
315,AOR,3
316,AOR,3
317,LVR,0
318,LVR,3
319,ROR,6
320,ROR,0
321,ROR,3
322,LVR,0
323,LVR,0
324,AOR,0
325,AOR,0
326,AOR,0
327,AOR,0
328,LVR,3
329,LVR,3
330,AOR,3
331,AOR,3
332,AOR,3
333,AOR,3
334,LVR,0
335,LVR,3
336,ROR,6
337,ROR,0
338,ROR,6
339,LVR,0
340,LVR,0
341,AOR,0
342,AOR,0
343,AOR,0
344,AOR,0
345,LVR,54
346,LVR,54
347,AOR,6
348,AOR,54
349,AOR,54
350,AOR,54
351,ROR,3
352,ROR,0
353,ROR,0
354,LVR,3
355,EVR,0
356,LVR,3
357,COR,0
358,COR,0
359,STD,0
360,LVR,3
361,LVR,6
362,SOR,
363,SOR,
364,LVR,
365,LVR,0
366,AOR,
367,AOR,
368,AOR,0
369,AOR,
370,LVR,0
371,LVR,0
372,LVR,6
373,LVR,0
374,STD,3
375,STD,
376,LVR,11
377,LVR,8
378,AOR,11
379,AOR,11
380,AOR,8
381,AOR,11
382,STD,11
383,STD,15
384,EVR,0
385,LVR,3
386,LVR,0
387,ROR,3
388,ROR,0
389,ROR,3
390,LVR,3
391,LVR,3
392,AOR,3
393,AOR,3
394,AOR,3
395,AOR,3
396,LVR,3
397,LVR,3
398,SOR,3
399,SOR,3
400,ROR,3
