mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,9,1,8
2,LVR,3,3,0
3,LVR,3,3,0
4,LVR,0,0,0
5,COR,0,0,0
6,COR,0,0,0
7,LVR,1,1,0
8,ROR,0,0,0
9,ROR,0,0,0
10,ROR,1,1,0
11,COR,1,1,0
12,COR,0,0,0
13,LVR,0,0,0
14,STD,0,0,0
15,STD,1,1,0
16,STD,6,3,3
17,EVR,6,0,6
18,LVR,0,0,0
19,LVR,0,0,0
20,STD,0,0,0
21,STD,3,3,0
22,STD,5,0,5
23,LVR,1,1,0
24,LVR,0,0,0
25,STD,0,0,0
26,STD,0,0,0
27,LVR,0,0,0
28,STD,2,0,2
29,LVR,0,0,0
30,LVR,8,0,8
31,LVR,1,0,1
32,LVR,2,2,0
33,LVR,4,0,4
34,LVR,4,0,4
35,LVR,0,0,0
36,LVR,3,0,3
37,LVR,4,0,4
38,LVR,4,0,4
39,AOR,4,0,4
40,AOR,4,0,4
41,AOR,4,0,4
42,AOR,4,0,4
43,STD,4,0,4
44,AOR,8,0,8
45,AOR,4,0,4
46,AOR,4,0,4
47,AOR,8,0,8
48,LVR,4,0,4
49,LVR,4,0,4
50,AOR,4,0,4
51,AOR,4,0,4
52,AOR,4,0,4
53,AOR,4,0,4
54,LVR,2,0,2
55,LVR,4,0,4
56,ROR,3,0,3
57,ROR,2,0,2
58,ROR,4,0,4
59,AOR,4,0,4
60,AOR,4,0,4
61,AOR,4,0,4
62,AOR,4,0,4
63,LVR,0,0,0
64,LVR,0,0,0
65,AOR,0,0,0
66,AOR,0,0,0
67,AOR,0,0,0
68,AOR,0,0,0
69,LVR,2,0,2
70,LVR,0,0,0
71,ROR,3,0,3
72,ROR,2,0,2
73,ROR,0,0,0
74,AOR,4,0,4
75,AOR,4,0,4
76,AOR,4,0,4
77,AOR,4,0,4
78,LVR,0,0,0
79,LVR,0,0,0
80,AOR,3,0,3
81,AOR,0,0,0
82,AOR,0,0,0
83,AOR,0,0,0
84,ROR,3,0,3
85,ROR,3,0,3
86,ROR,4,0,4
87,LVR,0,0,0
88,EVR,4,0,4
89,LVR,4,0,4
90,COR,4,0,4
91,COR,8,0,8
92,STD,0,0,0
93,LVR,0,0,0
94,LVR,3,0,3
95,SOR,0,0,0
96,SOR,0,0,0
97,LVR,0,0,0
98,LVR,4,0,4
99,AOR,0,0,0
100,AOR,0,0,0
101,AOR,4,0,4
102,AOR,0,0,0
103,LVR,4,0,4
104,LVR,4,0,4
105,LVR,0,0,0
106,LVR,4,0,4
107,STD,0,0,0
108,STD,0,0,0
109,LVR,2,2,0
110,LVR,0,0,0
111,AOR,2,2,0
112,AOR,2,2,0
113,AOR,0,0,0
114,AOR,2,2,0
115,STD,2,2,0
116,STD,3,0,3
117,EVR,4,0,4
118,LVR,0,0,0
119,LVR,4,0,4
120,ROR,0,0,0
121,ROR,4,0,4
122,ROR,1,1,0
123,LVR,0,0,0
124,LVR,0,0,0
125,AOR,1,1,0
126,AOR,0,0,0
127,AOR,0,0,0
128,AOR,0,0,0
129,LVR,0,0,0
130,LVR,1,1,0
131,SOR,2,1,1
132,SOR,0,0,0
133,ROR,0,0,0
134,ROR,0,0,0
135,ROR,1,1,0
136,LVR,4,0,4
137,COR,1,1,0
138,COR,4,0,4
139,STD,0,0,0
140,LVR,0,0,0
141,LVR,0,0,0
142,AOR,0,0,0
143,AOR,0,0,0
144,AOR,0,0,0
145,AOR,0,0,0
146,LVR,0,0,0
147,LVR,0,0,0
148,SOR,2,1,1
149,SOR,0,0,0
150,LVR,1,1,0
151,LVR,1,1,0
152,AOR,1,1,0
153,AOR,1,1,0
154,AOR,1,1,0
155,AOR,1,1,0
156,LVR,1,1,0
157,LVR,1,1,0
158,SOR,2,1,1
159,SOR,0,0,0
160,STD,3,0,3
161,STD,1,1,0
162,LVR,0,0,0
163,LVR,0,0,0
164,AOR,0,0,0
165,AOR,0,0,0
166,AOR,0,0,0
167,AOR,0,0,0
168,LVR,0,0,0
169,LVR,0,0,0
170,SOR,1,0,1
171,SOR,0,0,0
172,STD,0,0,0
173,LVR,3,0,3
174,LVR,3,0,3
175,AOR,3,0,3
176,AOR,3,0,3
177,AOR,3,0,3
178,AOR,3,0,3
179,STD,3,0,3
180,STD,6,0,6
181,LVR,4,0,4
182,LVR,3,2,1
183,LVR,3,0,3
184,LVR,3,0,3
185,AOR,3,0,3
186,AOR,3,0,3
187,AOR,3,0,3
188,AOR,3,0,3
189,STD,3,0,3
190,STD,4,0,4
191,STD,4,0,4
192,LVR,7,7,0
193,LVR,6,6,0
194,LVR,0,0,0
195,STD,7,1,6
196,EVR,5,0,5
197,STD,5,0,5
198,LVR,0,0,0
199,LVR,0,0,0
200,STD,3,0,3
201,LVR,0,0,0
202,LVR,11,0,11
203,LVR,0,0,0
204,LVR,1,0,1
205,LVR,0,0,0
206,LVR,0,0,0
207,LVR,0,0,0
208,LVR,0,0,0
209,AOR,11,0,11
210,AOR,0,0,0
211,AOR,0,0,0
212,AOR,11,0,11
213,LVR,11,0,11
214,LVR,11,0,11
215,AOR,11,0,11
216,AOR,11,0,11
217,AOR,11,0,11
218,AOR,11,0,11
219,LVR,0,0,0
220,LVR,11,0,11
221,ROR,0,0,0
222,ROR,0,0,0
223,ROR,11,0,11
224,AOR,0,0,0
225,AOR,0,0,0
226,AOR,0,0,0
227,AOR,0,0,0
228,LVR,0,0,0
229,LVR,0,0,0
230,AOR,0,0,0
231,AOR,0,0,0
232,AOR,0,0,0
233,AOR,0,0,0
234,LVR,0,0,0
235,LVR,0,0,0
236,ROR,0,0,0
237,ROR,0,0,0
238,ROR,0,0,0
239,AOR,0,0,0
240,AOR,0,0,0
241,AOR,0,0,0
242,AOR,0,0,0
243,LVR,0,0,0
244,LVR,0,0,0
245,AOR,0,0,0
246,AOR,0,0,0
247,AOR,0,0,0
248,AOR,0,0,0
249,ROR,0,0,0
250,ROR,0,0,0
251,ROR,0,0,0
252,LVR,0,0,0
253,EVR,0,0,0
254,LVR,11,0,11
255,COR,0,0,0
256,COR,11,0,11
257,STD,0,0,0
258,LVR,0,0,0
259,LVR,0,0,0
260,SOR,0,0,0
261,SOR,0,0,0
262,LVR,0,0,0
263,LVR,0,0,0
264,AOR,0,0,0
265,AOR,0,0,0
266,AOR,0,0,0
267,AOR,0,0,0
268,LVR,0,0,0
269,LVR,0,0,0
270,LVR,0,0,0
271,LVR,0,0,0
272,STD,0,0,0
273,STD,0,0,0
274,STD,4,0,4
275,LVR,5,2,3
276,LVR,5,2,3
277,STD,9,1,8
278,STD,3,0,3
279,EVR,11,1,10
280,LVR,0,0,0
281,LVR,0,0,0
282,COR,1,1,0
283,COR,1,1,0
284,LVR,0,0,0
285,LVR,0,0,0
286,ROR,1,1,0
287,ROR,0,0,0
288,ROR,1,1,0
289,STD,1,1,0
290,STD,2,2,0
291,STD,3,3,0
292,STD,2,2,0
293,EVR,3,0,3
294,LVR,1,0,1
295,LVR,3,0,3
296,AOR,1,0,1
297,AOR,1,0,1
298,AOR,3,0,3
299,AOR,1,0,1
300,STD,3,3,0
301,LVR,1,1,0
302,STD,1,1,0
303,EVR,0,0,0
304,EVR,5,0,5
305,LVR,4,0,4
306,LVR,4,0,4
307,AOR,5,0,5
308,AOR,4,0,4
309,AOR,4,0,4
310,AOR,4,0,4
311,LVR,0,0,0
312,LVR,0,0,0
313,AOR,1,0,1
314,AOR,0,0,0
315,AOR,0,0,0
316,AOR,0,0,0
317,LVR,4,0,4
318,LVR,0,0,0
319,ROR,4,0,4
320,ROR,4,0,4
321,ROR,1,0,1
322,LVR,4,0,4
323,LVR,4,0,4
324,AOR,5,0,5
325,AOR,4,0,4
326,AOR,4,0,4
327,AOR,4,0,4
328,LVR,0,0,0
329,LVR,0,0,0
330,AOR,0,0,0
331,AOR,0,0,0
332,AOR,0,0,0
333,AOR,0,0,0
334,LVR,4,0,4
335,LVR,0,0,0
336,ROR,4,0,4
337,ROR,4,0,4
338,ROR,0,0,0
339,LVR,4,0,4
340,LVR,4,0,4
341,AOR,5,0,5
342,AOR,4,0,4
343,AOR,4,0,4
344,AOR,4,0,4
345,LVR,0,0,0
346,LVR,0,0,0
347,AOR,4,0,4
348,AOR,0,0,0
349,AOR,0,0,0
350,AOR,0,0,0
351,ROR,1,0,1
352,ROR,4,0,4
353,ROR,5,0,5
354,LVR,0,0,0
355,EVR,5,0,5
356,LVR,1,0,1
357,COR,5,0,5
358,COR,6,0,6
359,STD,0,0,0
360,LVR,0,0,0
361,LVR,4,0,4
362,SOR,0,0,0
363,SOR,0,0,0
364,LVR,0,0,0
365,LVR,5,0,5
366,AOR,0,0,0
367,AOR,0,0,0
368,AOR,5,0,5
369,AOR,0,0,0
370,LVR,5,0,5
371,LVR,5,0,5
372,LVR,3,0,3
373,LVR,5,0,5
374,STD,3,0,3
375,STD,0,0,0
376,LVR,1,1,0
377,LVR,1,0,1
378,AOR,1,1,0
379,AOR,1,1,0
380,AOR,1,0,1
381,AOR,1,1,0
382,STD,1,1,0
383,STD,4,1,3
384,EVR,4,0,4
385,LVR,0,0,0
386,LVR,4,0,4
387,ROR,0,0,0
388,ROR,4,0,4
389,ROR,1,1,0
390,LVR,0,0,0
391,LVR,0,0,0
392,AOR,0,0,0
393,AOR,0,0,0
394,AOR,0,0,0
395,AOR,0,0,0
396,LVR,0,0,0
397,LVR,0,0,0
398,SOR,1,0,1
399,SOR,0,0,0
400,ROR,1,1,0
401,ROR,0,0,0
402,ROR,1,1,0
403,LVR,4,0,4
404,COR,0,0,0
405,COR,4,0,4
406,STD,0,0,0
407,LVR,0,0,0
408,LVR,0,0,0
409,AOR,0,0,0
410,AOR,0,0,0
411,AOR,0,0,0
412,AOR,0,0,0
413,LVR,0,0,0
414,LVR,0,0,0
415,SOR,0,0,0
416,SOR,0,0,0
417,LVR,0,0,0
418,LVR,0,0,0
419,AOR,0,0,0
420,AOR,0,0,0
421,AOR,0,0,0
422,AOR,0,0,0
423,LVR,0,0,0
