mutant_id,mutation,failing_test
1,STD,3
2,STD,0
3,LVR,0
4,COR,0
5,COR,0
6,LVR,0
7,ROR,0
8,ROR,0
9,ROR,6
10,COR,0
11,COR,0
12,LVR,0
13,STD,0
14,STD,0
15,STD,0
16,STD,3
17,LVR,0
18,COR,0
19,COR,0
20,LVR,0
21,ROR,0
22,ROR,0
23,ROR,6
24,COR,0
25,COR,0
26,LVR,0
27,STD,0
28,STD,0
29,STD,0
30,STD,3
31,LVR,0
32,STD,0
33,EVR,4
34,LVR,
35,EVR,4
36,LVR,0
37,LVR,0
38,LVR,0
39,COR,0
40,COR,0
41,STD,0
42,STD,0
43,LVR,0
44,LVR,0
45,COR,0
46,COR,0
47,STD,0
48,STD,0
49,COR,0
50,COR,0
51,LVR,0
52,ROR,0
53,ROR,0
54,ROR,0
55,COR,0
56,COR,0
57,LVR,0
58,STD,0
59,STD,0
60,STD,0
61,EVR,6
62,STD,9
63,LVR,0
64,STD,0
65,EVR,0
66,ROR,0
67,ROR,0
68,ROR,0
69,EVR,0
