mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,6,0,6
2,STD,2,2,0
3,LVR,7,0,7
4,COR,7,0,7
5,COR,1,1,0
6,LVR,1,1,0
7,ROR,0,0,0
8,ROR,0,0,0
9,ROR,1,1,0
10,COR,1,1,0
11,COR,0,0,0
12,LVR,1,1,0
13,STD,1,1,0
14,STD,4,0,4
15,STD,0,0,0
16,STD,2,0,2
17,LVR,1,0,1
18,COR,1,0,1
19,COR,1,1,0
20,LVR,1,1,0
21,ROR,0,0,0
22,ROR,0,0,0
23,ROR,1,1,0
24,COR,1,1,0
25,COR,0,0,0
26,LVR,1,1,0
27,STD,1,1,0
28,STD,0,0,0
29,STD,0,0,0
30,STD,6,0,6
31,LVR,0,0,0
32,STD,0,0,0
33,EVR,0,0,0
34,LVR,0,0,0
35,EVR,0,0,0
36,LVR,0,0,0
37,LVR,0,0,0
38,LVR,0,0,0
39,COR,1,0,1
40,COR,0,0,0
41,STD,0,0,0
42,STD,0,0,0
43,LVR,0,0,0
44,LVR,0,0,0
45,COR,4,0,4
46,COR,2,2,0
47,STD,0,0,0
48,STD,2,2,0
49,COR,0,0,0
50,COR,0,0,0
51,LVR,0,0,0
52,ROR,0,0,0
53,ROR,0,0,0
54,ROR,0,0,0
55,COR,0,0,0
56,COR,0,0,0
57,LVR,0,0,0
58,STD,0,0,0
59,STD,0,0,0
60,STD,0,0,0
61,EVR,4,4,0
62,STD,4,4,0
63,LVR,0,0,0
64,STD,3,0,3
65,EVR,3,2,1
66,ROR,0,0,0
67,ROR,0,0,0
68,ROR,1,1,0
69,EVR,0,0,0
