mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,8,0,8
2,STD,7,0,7
3,LVR,25,0,25
4,COR,25,0,25
5,COR,7,0,7
6,LVR,8,1,7
7,ROR,7,0,7
8,ROR,7,0,7
9,ROR,7,0,7
10,COR,8,1,7
11,COR,7,0,7
12,LVR,7,0,7
13,STD,7,0,7
14,STD,22,0,22
15,STD,7,0,7
16,STD,22,0,22
17,LVR,115,0,115
18,COR,115,0,115
19,COR,7,0,7
20,LVR,15,8,7
21,ROR,7,0,7
22,ROR,7,0,7
23,ROR,7,0,7
24,COR,15,8,7
25,COR,7,0,7
26,LVR,7,0,7
27,STD,7,0,7
28,STD,115,0,115
29,STD,15,8,7
30,STD,11,0,11
31,LVR,7,0,7
32,STD,10,3,7
33,EVR,16,9,7
34,LVR,7,0,7
35,EVR,16,9,7
36,LVR,7,0,7
37,LVR,7,0,7
38,LVR,7,0,7
39,COR,7,0,7
40,COR,7,0,7
41,STD,7,0,7
42,STD,7,0,7
43,LVR,7,0,7
44,LVR,7,0,7
45,COR,7,0,7
46,COR,1,0,1
47,STD,7,0,7
48,STD,1,0,1
49,COR,7,0,7
50,COR,7,0,7
51,LVR,7,0,7
52,ROR,7,0,7
53,ROR,7,0,7
54,ROR,7,0,7
55,COR,7,0,7
56,COR,7,0,7
57,LVR,7,0,7
58,STD,7,0,7
59,STD,7,0,7
60,STD,7,0,7
61,EVR,120,113,7
62,STD,120,113,7
63,LVR,7,0,7
64,STD,7,0,7
65,EVR,56,0,56
66,ROR,7,0,7
67,ROR,7,0,7
68,ROR,56,49,7
69,EVR,7,0,7
