mutant_id,mutation,failing_test
1,STD,0
2,EVR,0
3,STD,2
4,STD,0
5,STD,0
6,STD,0
7,LVR,5
8,LVR,0
9,AOR,4
10,AOR,4
11,AOR,5
12,AOR,4
13,STD,4
14,STD,4
15,STD,5
16,LVR,0
17,LVR,5
18,AOR,0
19,AOR,2
20,AOR,3
21,AOR,0
22,STD,2
23,STD,2
24,LVR,0
25,LVR,0
26,STD,0
27,LVR,4
28,LVR,0
29,STD,0
30,AOR,0
31,AOR,0
32,AOR,0
33,AOR,0
34,LVR,0
35,LVR,0
36,LVR,2
37,LVR,0
38,ROR,13
39,ROR,0
40,ROR,6
41,AOR,4
42,AOR,4
43,AOR,6
44,AOR,6
45,STD,4
46,STD,11
47,EVR,11
48,AOR,2
49,AOR,6
50,AOR,8
51,AOR,6
52,STD,6
53,STD,6
54,LVR,
