mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,0,0,0
2,EVR,3,0,3
3,STD,2,2,0
4,STD,2,2,0
5,STD,3,3,0
6,STD,1,1,0
7,LVR,3,3,0
8,LVR,3,3,0
9,AOR,3,2,1
10,AOR,3,3,0
11,AOR,3,3,0
12,AOR,3,2,1
13,STD,3,3,0
14,STD,3,3,0
15,STD,2,2,0
16,LVR,2,2,0
17,LVR,2,2,0
18,AOR,1,1,0
19,AOR,1,1,0
20,AOR,1,1,0
21,AOR,1,1,0
22,STD,1,1,0
23,STD,1,1,0
24,LVR,3,3,0
25,LVR,3,3,0
26,STD,0,0,0
27,LVR,3,3,0
28,LVR,3,3,0
29,STD,1,1,0
30,AOR,7,6,1
31,AOR,6,6,0
32,AOR,6,6,0
33,AOR,7,6,1
34,LVR,0,0,0
35,LVR,0,0,0
36,LVR,0,0,0
37,LVR,0,0,0
38,ROR,2,2,0
39,ROR,0,0,0
40,ROR,1,1,0
41,AOR,1,1,0
42,AOR,1,1,0
43,AOR,1,1,0
44,AOR,1,1,0
45,STD,1,1,0
46,STD,1,1,0
47,EVR,2,2,0
48,AOR,4,3,1
49,AOR,3,3,0
50,AOR,3,3,0
51,AOR,4,3,1
52,STD,1,1,0
53,STD,3,3,0
54,LVR,0,0,0
