mutant_id,mutation,failing_test
1,STD,0
2,EVR,0
3,STD,0
4,STD,0
5,STD,0
6,STD,2
7,LVR,0
8,LVR,0
9,AOR,0
10,AOR,0
11,AOR,0
12,AOR,0
13,STD,0
14,STD,0
15,STD,0
16,LVR,0
17,LVR,5
18,AOR,0
19,AOR,2
20,AOR,5
21,AOR,0
22,STD,2
23,STD,2
24,LVR,0
25,LVR,0
26,STD,0
27,LVR,2
28,LVR,0
29,STD,0
30,AOR,4
31,AOR,4
32,AOR,4
33,AOR,2
34,LVR,
35,EVR,2
36,LVR,0
37,LVR,0
38,LVR,0
39,LVR,0
40,ROR,0
41,ROR,0
42,ROR,0
43,AOR,0
44,AOR,0
45,AOR,0
46,AOR,0
47,STD,0
48,STD,0
49,EVR,0
50,AOR,0
51,AOR,0
52,AOR,2
53,AOR,0
54,STD,0
55,STD,0
56,LVR,
