mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,0,0,0
2,EVR,4,4,0
3,STD,4,4,0
4,STD,4,3,1
5,STD,4,4,0
6,STD,4,4,0
7,LVR,2,2,0
8,LVR,2,2,0
9,AOR,2,2,0
10,AOR,1,1,0
11,AOR,1,1,0
12,AOR,4,0,4
13,STD,1,1,0
14,STD,1,1,0
15,STD,2,2,0
16,LVR,1,1,0
17,LVR,3,3,0
18,AOR,3,3,0
19,AOR,0,0,0
20,AOR,2,2,0
21,AOR,2,2,0
22,STD,1,1,0
23,STD,3,3,0
24,LVR,9,8,1
25,LVR,9,9,0
26,STD,8,8,0
27,LVR,9,8,1
28,LVR,0,0,0
29,STD,9,9,0
30,AOR,0,0,0
31,AOR,0,0,0
32,AOR,0,0,0
33,AOR,0,0,0
34,LVR,4,4,0
35,EVR,1,1,0
36,LVR,0,0,0
37,LVR,2,2,0
38,LVR,2,2,0
39,LVR,2,2,0
40,ROR,2,2,0
41,ROR,2,2,0
42,ROR,2,2,0
43,AOR,0,0,0
44,AOR,2,2,0
45,AOR,4,4,0
46,AOR,4,3,1
47,STD,4,4,0
48,STD,3,3,0
49,EVR,4,3,1
50,AOR,2,2,0
51,AOR,3,3,0
52,AOR,0,0,0
53,AOR,3,3,0
54,STD,4,4,0
55,STD,4,4,0
56,LVR,4,3,1
