mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,0,0,0
2,EVR,14,0,14
3,STD,2,2,0
4,STD,1,1,0
5,STD,1,1,0
6,STD,2,2,0
7,LVR,2,2,0
8,LVR,2,2,0
9,AOR,7,1,6
10,AOR,2,2,0
11,AOR,2,2,0
12,AOR,7,1,6
13,STD,2,2,0
14,STD,2,2,0
15,STD,3,3,0
16,LVR,2,2,0
17,LVR,2,2,0
18,AOR,19,0,19
19,AOR,2,2,0
20,AOR,2,2,0
21,AOR,19,0,19
22,STD,2,2,0
23,STD,2,2,0
24,LVR,2,2,0
25,LVR,2,2,0
26,STD,1,1,0
27,LVR,6,6,0
28,LVR,6,6,0
29,STD,2,2,0
30,AOR,4,2,2
31,AOR,11,11,0
32,AOR,10,10,0
33,AOR,12,10,2
34,LVR,0,0,0
35,EVR,3,3,0
36,LVR,0,0,0
37,LVR,0,0,0
38,LVR,0,0,0
39,LVR,0,0,0
40,ROR,4,4,0
41,ROR,0,0,0
42,ROR,1,1,0
43,AOR,1,1,0
44,AOR,1,1,0
45,AOR,1,1,0
46,AOR,1,1,0
47,STD,1,1,0
48,STD,4,4,0
49,EVR,5,5,0
50,AOR,5,3,2
51,AOR,3,3,0
52,AOR,3,3,0
53,AOR,5,3,2
54,STD,1,1,0
55,STD,3,3,0
56,LVR,0,0,0
