mutant_id,mutation,failing_test
1,LVR,0
2,LVR,0
3,ROR,0
4,ROR,0
5,ROR,0
6,LVR,0
7,LVR,0
8,AOR,0
9,AOR,0
10,AOR,0
11,AOR,0
12,STD,0
13,STD,32
14,LVR,20
15,LVR,26
16,STD,20
17,LVR,34
18,LVR,46
19,STD,34
20,STD,14
21,COR,0
22,COR,0
23,EVR,0
24,EVR,0
25,ROR,0
26,ROR,0
27,ROR,6
28,AOR,0
29,AOR,6
30,AOR,6
31,AOR,6
32,LVR,8
33,LVR,8
34,AOR,0
35,AOR,8
36,AOR,8
37,AOR,8
38,AOR,8
39,AOR,8
40,AOR,8
41,AOR,8
42,AOR,8
43,AOR,8
44,AOR,8
45,AOR,8
46,LVR,
47,EVR,0
48,LVR,0
49,LVR,0
50,AOR,0
51,AOR,0
52,AOR,0
53,AOR,0
54,EVR,0
55,ROR,0
56,ROR,0
57,ROR,0
58,LVR,0
59,LVR,0
60,ROR,0
61,ROR,0
62,ROR,0
63,ROR,0
64,ROR,0
65,ROR,0
66,LVR,0
67,LVR,0
68,AOR,0
69,AOR,0
70,AOR,0
71,AOR,0
72,ROR,0
73,ROR,0
74,ROR,0
75,EVR,0
76,COR,0
77,COR,0
78,STD,0
79,ROR,2
80,ROR,0
81,ROR,0
82,LVR,0
83,LVR,0
84,STD,0
85,LVR,2
86,LVR,46
87,AOR,34
88,AOR,2
89,AOR,46
90,AOR,2
91,STD,2
92,COR,0
93,COR,0
94,ROR,0
95,ROR,0
96,ROR,0
97,LVR,0
98,LVR,0
99,STD,0
100,STD,0
101,STD,0
