mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,LVR,10,0,10
2,LVR,0,0,0
3,ROR,1,1,0
4,ROR,0,0,0
5,ROR,12,0,12
6,LVR,0,0,0
7,LVR,0,0,0
8,AOR,0,0,0
9,AOR,0,0,0
10,AOR,0,0,0
11,AOR,0,0,0
12,STD,12,0,12
13,STD,5,4,1
14,LVR,10,8,2
15,LVR,10,8,2
16,STD,10,8,2
17,LVR,9,5,4
18,LVR,8,7,1
19,STD,9,5,4
20,STD,10,4,6
21,COR,1,0,1
22,COR,1,0,1
23,EVR,0,0,0
24,EVR,0,0,0
25,ROR,2,2,0
26,ROR,1,1,0
27,ROR,2,2,0
28,AOR,2,2,0
29,AOR,2,2,0
30,AOR,2,2,0
31,AOR,2,2,0
32,LVR,4,4,0
33,LVR,4,4,0
34,AOR,3,3,0
35,AOR,4,4,0
36,AOR,4,4,0
37,AOR,4,4,0
38,AOR,2,2,0
39,AOR,4,4,0
40,AOR,4,4,0
41,AOR,4,4,0
42,AOR,3,3,0
43,AOR,4,4,0
44,AOR,4,4,0
45,AOR,4,4,0
46,EVR,5,5,0
47,LVR,8,2,6
48,LVR,5,5,0
49,AOR,5,5,0
50,AOR,8,2,6
51,AOR,5,5,0
52,AOR,8,2,6
53,EVR,2,2,0
54,ROR,3,0,3
55,ROR,1,0,1
56,ROR,4,3,1
57,LVR,1,1,0
58,LVR,1,1,0
59,ROR,0,0,0
60,ROR,3,0,3
61,ROR,1,1,0
62,ROR,6,0,6
63,ROR,0,0,0
64,ROR,1,1,0
65,LVR,3,0,3
66,LVR,2,2,0
67,AOR,2,2,0
68,AOR,3,0,3
69,AOR,2,2,0
70,AOR,3,0,3
71,ROR,0,0,0
72,ROR,3,0,3
73,ROR,2,2,0
74,EVR,3,3,0
75,COR,1,1,0
76,COR,6,0,6
77,STD,4,3,1
78,ROR,5,1,4
79,ROR,0,0,0
80,ROR,2,2,0
81,LVR,3,3,0
82,LVR,3,3,0
83,STD,3,2,1
84,LVR,5,1,4
85,LVR,6,6,0
86,AOR,6,5,1
87,AOR,5,1,4
88,AOR,6,6,0
89,AOR,5,1,4
90,STD,5,1,4
91,LVR,0,0,0
92,COR,1,1,0
93,COR,3,0,3
94,ROR,2,0,2
95,ROR,0,0,0
96,ROR,1,1,0
97,LVR,1,1,0
98,LVR,0,0,0
99,STD,1,1,0
100,STD,2,0,2
101,STD,1,0,1
