mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,LVR,20,0,20
2,LVR,9,9,0
3,ROR,5,5,0
4,ROR,9,9,0
5,ROR,501,0,501
6,LVR,0,0,0
7,LVR,0,0,0
8,AOR,0,0,0
9,AOR,0,0,0
10,AOR,0,0,0
11,AOR,0,0,0
12,STD,501,0,501
13,STD,267,217,50
14,LVR,436,435,1
15,LVR,436,343,93
16,STD,436,435,1
17,LVR,440,347,93
18,LVR,437,359,78
19,STD,440,347,93
20,STD,433,263,170
21,COR,68,0,68
22,COR,52,0,52
23,EVR,34,33,1
24,LVR,0,0,0
25,EVR,34,33,1
26,ROR,0,0,0
27,ROR,7,7,0
28,ROR,41,41,0
29,AOR,41,41,0
30,AOR,41,41,0
31,AOR,41,41,0
32,AOR,41,41,0
33,LVR,240,240,0
34,LVR,240,240,0
35,AOR,7,7,0
36,AOR,240,240,0
37,AOR,240,240,0
38,AOR,240,240,0
39,AOR,240,240,0
40,AOR,240,240,0
41,AOR,240,240,0
42,AOR,240,240,0
43,AOR,7,7,0
44,AOR,240,240,0
45,AOR,240,240,0
46,AOR,240,240,0
47,EVR,47,47,0
48,LVR,358,358,0
49,LVR,357,357,0
50,AOR,357,357,0
51,AOR,358,358,0
52,AOR,357,357,0
53,AOR,358,358,0
54,EVR,282,282,0
55,ROR,91,14,77
56,ROR,0,0,0
57,ROR,416,348,68
58,LVR,0,0,0
59,LVR,0,0,0
60,ROR,0,0,0
61,ROR,0,0,0
62,ROR,0,0,0
63,ROR,333,163,170
64,ROR,0,0,0
65,ROR,0,0,0
66,LVR,14,6,8
67,LVR,4,3,1
68,AOR,0,0,0
69,AOR,14,6,8
70,AOR,4,3,1
71,AOR,14,6,8
72,ROR,0,0,0
73,ROR,16,8,8
74,ROR,0,0,0
75,EVR,0,0,0
76,COR,0,0,0
77,COR,170,0,170
78,STD,57,5,52
79,ROR,91,14,77
80,ROR,0,0,0
81,ROR,0,0,0
82,LVR,0,0,0
83,LVR,0,0,0
84,STD,0,0,0
85,LVR,91,14,77
86,LVR,50,48,2
87,AOR,50,48,2
88,AOR,91,14,77
89,AOR,50,48,2
90,AOR,91,14,77
91,STD,91,14,77
92,COR,70,70,0
93,COR,40,0,40
94,ROR,11,10,1
95,ROR,0,0,0
96,ROR,0,0,0
97,LVR,0,0,0
98,LVR,0,0,0
99,STD,0,0,0
100,STD,11,10,1
101,STD,11,11,0
