mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,LVR,20,0,20
2,LVR,9,9,0
3,ROR,5,5,0
4,ROR,9,9,0
5,ROR,513,0,513
6,LVR,0,0,0
7,LVR,0,0,0
8,AOR,0,0,0
9,AOR,0,0,0
10,AOR,0,0,0
11,AOR,0,0,0
12,STD,513,0,513
13,STD,276,225,51
14,LVR,447,446,1
15,LVR,447,352,95
16,STD,447,446,1
17,LVR,451,356,95
18,LVR,448,367,81
19,STD,451,356,95
20,STD,444,268,176
21,COR,70,0,70
22,COR,53,0,53
23,EVR,35,34,1
24,EVR,35,34,1
25,ROR,0,0,0
26,ROR,8,8,0
27,ROR,42,42,0
28,AOR,42,42,0
29,AOR,42,42,0
30,AOR,42,42,0
31,AOR,42,42,0
32,LVR,248,248,0
33,LVR,248,248,0
34,AOR,8,8,0
35,AOR,248,248,0
36,AOR,248,248,0
37,AOR,248,248,0
38,AOR,248,248,0
39,AOR,248,248,0
40,AOR,248,248,0
41,AOR,248,248,0
42,AOR,8,8,0
43,AOR,248,248,0
44,AOR,248,248,0
45,AOR,248,248,0
46,EVR,49,49,0
47,LVR,365,365,0
48,LVR,364,364,0
49,AOR,364,364,0
50,AOR,365,365,0
51,AOR,364,364,0
52,AOR,365,365,0
53,EVR,293,293,0
54,ROR,95,14,81
55,ROR,0,0,0
56,ROR,424,354,70
57,LVR,0,0,0
58,LVR,0,0,0
59,ROR,0,0,0
60,ROR,0,0,0
61,ROR,0,0,0
62,ROR,343,167,176
63,ROR,0,0,0
64,ROR,0,0,0
65,LVR,15,7,8
66,LVR,4,3,1
67,AOR,0,0,0
68,AOR,15,7,8
69,AOR,4,3,1
70,AOR,15,7,8
71,ROR,0,0,0
72,ROR,17,9,8
73,ROR,0,0,0
74,EVR,0,0,0
75,COR,0,0,0
76,COR,176,0,176
77,STD,59,6,53
78,ROR,95,14,81
79,ROR,0,0,0
80,ROR,0,0,0
81,LVR,0,0,0
82,LVR,0,0,0
83,STD,0,0,0
84,LVR,95,14,81
85,LVR,52,50,2
86,AOR,52,50,2
87,AOR,95,14,81
88,AOR,52,50,2
89,AOR,95,14,81
90,STD,95,14,81
91,COR,70,70,0
92,COR,44,0,44
93,ROR,11,10,1
94,ROR,0,0,0
95,ROR,0,0,0
96,LVR,0,0,0
97,LVR,0,0,0
98,STD,0,0,0
99,STD,11,10,1
100,LVR,0,0,0
101,STD,11,11,0
