mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,LVR,20,0,20
2,LVR,9,9,0
3,ROR,6,6,0
4,ROR,9,9,0
5,ROR,555,0,555
6,LVR,0,0,0
7,LVR,0,0,0
8,AOR,0,0,0
9,AOR,0,0,0
10,AOR,0,0,0
11,AOR,0,0,0
12,STD,555,0,555
13,STD,304,247,57
14,LVR,485,484,1
15,LVR,485,380,105
16,STD,485,484,1
17,LVR,489,385,104
18,LVR,486,399,87
19,STD,489,385,104
20,STD,480,284,196
21,COR,80,0,80
22,COR,59,0,59
23,EVR,39,38,1
24,EVR,39,38,1
25,ROR,0,0,0
26,ROR,10,10,0
27,ROR,47,47,0
28,AOR,47,47,0
29,AOR,47,47,0
30,AOR,47,47,0
31,AOR,47,47,0
32,LVR,273,273,0
33,LVR,273,273,0
34,AOR,10,10,0
35,AOR,273,273,0
36,AOR,273,273,0
37,AOR,273,273,0
38,AOR,273,273,0
39,AOR,273,273,0
40,AOR,273,273,0
41,AOR,273,273,0
42,AOR,10,10,0
43,AOR,273,273,0
44,AOR,273,273,0
45,AOR,273,273,0
46,EVR,55,55,0
47,LVR,396,395,1
48,LVR,395,395,0
49,AOR,395,395,0
50,AOR,396,395,1
51,AOR,395,395,0
52,AOR,396,395,1
53,EVR,310,310,0
54,ROR,102,15,87
55,ROR,0,0,0
56,ROR,460,380,80
57,LVR,0,0,0
58,LVR,0,0,0
59,ROR,0,0,0
60,ROR,0,0,0
61,ROR,0,0,0
62,ROR,374,178,196
63,ROR,0,0,0
64,ROR,0,0,0
65,LVR,19,10,9
66,LVR,5,3,2
67,AOR,0,0,0
68,AOR,19,10,9
69,AOR,5,3,2
70,AOR,19,10,9
71,ROR,0,0,0
72,ROR,22,12,10
73,ROR,0,0,0
74,EVR,0,0,0
75,COR,0,0,0
76,COR,196,0,196
77,STD,65,6,59
78,ROR,102,15,87
79,ROR,0,0,0
80,ROR,0,0,0
81,LVR,0,0,0
82,LVR,0,0,0
83,STD,0,0,0
84,LVR,102,15,87
85,LVR,57,55,2
86,AOR,57,55,2
87,AOR,102,15,87
88,AOR,57,55,2
89,AOR,102,15,87
90,STD,102,15,87
91,COR,77,77,0
92,COR,45,0,45
93,ROR,13,11,2
94,ROR,0,0,0
95,ROR,0,0,0
96,LVR,0,0,0
97,LVR,0,0,0
98,STD,0,0,0
99,STD,13,11,2
100,STD,14,14,0
101,LVR,0,0,0
