mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,30,30,0
2,LVR,133,133,0
3,LVR,133,133,0
4,AOR,129,129,0
5,AOR,133,133,0
6,AOR,133,133,0
7,AOR,133,133,0
8,STD,129,129,0
9,LVR,168,168,0
10,LVR,168,168,0
11,LVR,168,168,0
12,LVR,168,168,0
13,AOR,168,168,0
14,AOR,168,168,0
15,AOR,168,168,0
16,AOR,168,168,0
17,STD,140,140,0
18,EVR,398,398,0
19,LVR,0,0,0
20,EVR,398,398,0
21,LVR,218,218,0
22,LVR,218,218,0
23,AOR,212,212,0
24,AOR,218,218,0
25,AOR,218,218,0
26,AOR,218,218,0
27,STD,212,212,0
