mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,26,26,0
2,LVR,123,123,0
3,LVR,123,123,0
4,AOR,119,119,0
5,AOR,123,123,0
6,AOR,123,123,0
7,AOR,123,123,0
8,STD,119,119,0
9,LVR,151,151,0
10,LVR,151,151,0
11,LVR,151,151,0
12,LVR,151,151,0
13,AOR,151,151,0
14,AOR,151,151,0
15,AOR,151,151,0
16,AOR,151,151,0
17,STD,125,125,0
18,EVR,362,362,0
19,LVR,200,200,0
20,LVR,200,200,0
21,AOR,195,195,0
22,AOR,200,200,0
23,AOR,200,200,0
24,AOR,200,200,0
25,STD,196,196,0
26,LVR,0,0,0
