methods,tests,mutants,detected_mutants
Angle.getTurn,36,22,0
ArithmeticUtilsNew.subAndCheck,45,39,8
BooleanUtils.compare,23,13,0
BooleanUtils.toBoolean,31,18,16
Composite.addChild,1283,35,25
DoublyLinkedListNode.insertRight,145,18,7
DoublyLinkedListNode.remove,99,18,8
Envelope.maxExtent,86,56,33
FastMathNew.floor,,42,0
IntMath.mod,51,21,13
ListComp02.insert_r,263,20,2
ListComp02.insert_s,257,20,17
MathUtil.clamp,50,11,0
MathUtilsNew.copySignInt,36,49,1
Map.count,,63,5
Map.extend,210,63,13
Map.remove,0,63,5
MinFinder.findMin,,69,0
StackAr.top,230,48,21
Polyupdate.a1,69,54,29
Polyupdate.sm,43,56,13
SimpleMethods.getMin,45,7,5
SimpleMethods.abs,31,20,16
StackAr.push,142,48,11
StackAr.pop,138,48,7
StackAr.makeEmpty,115,47,14
StackAr.topAndPop,124,49,17
RingBuffer.item,165,101,9
RingBuffer.extend,193,101,16
RingBuffer.remove,166,101,15
RingBuffer.count,164,101,33
RingBuffer.wipeOut,145,101,12
Structure.foo,21,27,12
Structure.setX,43,26,9
QueueAr.dequeue,380,69,30
QueueAr.dequeueAll,189,67,31
QueueAr.enqueue,252,67,22
QueueAr.getFront,155,67,18
QueueAr.makeEmpty,183,67,23

faltan correr
exceden el heap
MaxBag.add,656,748,177
MaxBag.getMax,690,749,177
MaxBag.remove,690,748,177

error
SimpleMethods.addElementToSet,506,3,0
SimpleMethods.incrementNumberAtIndex,712,22,22
MinFinder.findMin
FastMathNew.floor,,42,0
