subject,detected_mutants
Angle_getTurn,20.0
ArithmeticUtils_subAndCheck,19.0
BooleanUtils_compare,12.0
BooleanUtils_toBoolean,17.0
Envelope_maxExtent,33.0
FastMathNew_floor,23.0
IntMath_mod,18.0
MathUtil_clamp,9.0
MathUtilsNew_copySignInt,32.0
QueueAr_dequeue,52.0
QueueAr_dequeueAll,54.0
QueueAr_enqueue,52.0
QueueAr_getFront,52.0
QueueAr_makeEmpty,53.0
SimpleMethods_abs,19.0
SimpleMethods_addElementToSet,0.0
SimpleMethods_getMin,5.0
SimpleMethods_incrementNumberAtIndex,7.0
StackAr_makeEmpty,44.0
StackAr_pop,42.0
StackAr_push,44.0
StackAr_top,45.0
StackAr_topAndPop,44.0
composite_addChild,32.0
doublylinkedlistnode_insertRight,15.0
doublylinkedlistnode_remove,15.0
listcomp02_insert_r,4.0
listcomp02_insert_s,19.0
map_count,56.0
map_extend,56.0
map_remove,56.0
maxbag_add,695.0
maxbag_getMax,139.0
maxbag_remove,700.0
minFinder_findMin,69.0
polyupdate_a1,47.0
polyupdate_sm,48.0
ringbuffer_count,70.0
ringbuffer_extend,70.0
ringbuffer_item,70.0
ringbuffer_remove,70.0
ringbuffer_wipeOut,70.0
structure_foo,26.0
structure_setX,25.0
