subject,detected_mutants
Angle_getTurn,20
ArithmeticUtils_subAndCheck,13
BooleanUtils_compare,12
BooleanUtils_toBoolean,17
Envelope_maxExtent,33
FastMathNew_floor,22
IntMath_mod,17
MathUtil_clamp,8
MathUtilsNew_copySignInt,30
QueueAr_dequeue,42
QueueAr_dequeueAll,44
QueueAr_enqueue,39
QueueAr_getFront,34
QueueAr_makeEmpty,37
SimpleMethods_abs,19
SimpleMethods_addElementToSet,1
SimpleMethods_getMin,5
SimpleMethods_incrementNumberAtIndex,22
StackAr_makeEmpty,38
StackAr_pop,26
StackAr_push,38
StackAr_top,40
StackAr_topAndPop,32
composite_addChild,31
doublylinkedlistnode_insertRight,14
doublylinkedlistnode_remove,15
listcomp02_insert_r,17
listcomp02_insert_s,19
map_count,43
map_extend,52
map_remove,52
maxbag_add,715
maxbag_getMax,314
maxbag_remove,720
minFinder_findMin,25
polyupdate_a1,47
polyupdate_sm,46
ringbuffer_count,83
ringbuffer_extend,85
ringbuffer_item,84
ringbuffer_remove,84
ringbuffer_wipeOut,84
structure_foo,26
structure_setX,25
