methods,tests,mutants,detected_mutants
Angle.getTurn,4,22,20
ArithmeticUtilsNew.subAndCheck,8,39,24
BooleanUtils.compare,3,13,12
BooleanUtils.toBoolean,7,18,14
Composite.addChild,3,35,9
DoublyLinkedListNode.insertRight,4,18,9
DoublyLinkedListNode.remove,4,18,9
Envelope.maxExtent,8,56,33
FastMathNew.floor,8,42,21
IntMath.mod,5,21,16
ListComp02.insert_r,6,20,17
ListComp02.insert_s,5,20,17
Map.count,11,63,42
Map.extend,12,63,50
Map.remove,12,63,50
MathUtil.clamp,5,11,8
MathUtilsNew.copySignInt,8,49,30
MinFinder.findMin,15,69,25 
Polyupdate.a1,10,54,47
Polyupdate.sm,10,56,46
QueueAr.dequeue,10,69,25
QueueAr.dequeueAll,10,67,26
QueueAr.enqueue,10,67,24
QueueAr.getFront,9,67,24
QueueAr.makeEmpty,9,67,24
RingBuffer.count,15,101,83
RingBuffer.extend,13,101,85
RingBuffer.item,13,101,84
RingBuffer.remove,14,101,84
RingBuffer.wipeOut,15,101,83
SimpleMethods.abs,1,20,19
SimpleMethods.addElementToSet,1,3,1
SimpleMethods.getMin,3,7,0
SimpleMethods.incrementNumberAtIndex,5,22,22
StackAr.makeEmpty,11,47,32
StackAr.pop,11,48,26
StackAr.push,11,48,32
StackAr.top,10,48,30
StackAr.topAndPop,11,49,26
Structure.foo,4,27,26
Structure.setX,4,26,25
