methods,tests,mutants,detected_mutants
Angle.getTurn,2579,22,20
ArithmeticUtilsNew.subAndCheck,604,39,19
BooleanUtils.compare,937,13,12
BooleanUtils.toBoolean,2203,18,4
Composite.addChild,347,35,17
DoublyLinkedListNode.insertRight,1064,18,15
DoublyLinkedListNode.remove,1060,18,15
Envelope.maxExtent,1186,56,33
FastMathNew.floor,1009,42,23
IntMath.mod,1183,21,18
ListComp02.insert_r,526,20,3
ListComp02.insert_s,509,20,3
MathUtil.clamp,2221,11,9
MathUtilsNew.copySignInt,575,49,32
Map.count,996,63,56
Map.extend,880,63,56
Map.remove,884,63,56
MaxBag.add,656,748,177
MaxBag.getMax,690,749,177
MaxBag.remove,690,748,177
MinFinder.findMin,336,69,69
Polyupdate.a1,576,54,47
Polyupdate.sm,603,56,48
QueueAr.dequeue,545,69,50
RingBuffer.count,506,101,70
RingBuffer.extend,488,101,70
RingBuffer.item,431,101,70
RingBuffer.remove,520,101,70
RingBuffer.wipeOut,542,101,70
SimpleMethods.abs,393,20,19
SimpleMethods.addElementToSet,506,3,0
SimpleMethods.getMin,463,7,5
SimpleMethods.incrementNumberAtIndex,712,22,22
StackAr.makeEmpty,430,47,42
StackAr.pop,410,48,42
StackAr.push,424,48,42
StackAr.top,396,48,43
StackAr.topAndPop,422,49,42
Structure.foo,542,27,26
Structure.setX,527,26,25
QueueAr.dequeueAll,747,67,52
QueueAr.enqueue,738,67,51
QueueAr.getFront,722,67,52
QueueAr.makeEmpty,607,67,51
